dateTime,value
2023-04-17,0
2023-04-18,0
2023-04-19,131
2023-04-20,84
2023-04-21,0
2023-04-22,13046
2023-04-23,6986
2023-04-24,0
2023-04-25,11551
2023-04-26,6301
2023-04-27,10449
2023-04-28,13025
2023-04-29,12809
2023-04-30,8519
2023-05-01,9424
2023-05-02,6931
2023-05-03,11370
2023-05-04,9781
2023-05-05,12924
2023-05-06,1740
2023-05-07,65
2023-05-08,0
2023-05-09,9
2023-05-10,0
2023-05-11,5857
2023-05-12,551
2023-05-13,7685
2023-05-14,0
2023-05-15,0
2023-05-16,4872
2023-05-17,521
2023-05-18,0
2023-05-19,0
2023-05-20,58
2023-05-21,0
2023-05-22,6441
2023-05-23,4009
2023-05-24,7585
2023-05-25,7192
2023-05-26,0
2023-05-27,5070
